CODIGO_REGIONAL,NOMBRE_REGIONAL,CODIGO_CENTRO,NOMBRE_CENTRO,IDENTIFICADOR_UNICO_FICHA,FECHA_INICIO_FICHA,FECHA_TERMINACION_FICHA,CODIGO_PROGRAMA,VERSION_PROGRAMA,NOMBRE_PROGRAMA_FORMACION,NIVEL_FORMACION,MODALIDAD_FORMACION,TOTAL_APRENDICES_MATRICULADOS,DESERTORES_AÑO_ACTUAL,PERIODO,tasa_desercion,duracion_dias,duracion_meses,mes_inicio,año_inicio,tiene_desercion
54,REGIONAL NORTE DE SANTANDER,9119,CENTRO DE FORMACION PARA EL DESARROLLO RURAL Y MINERO,12918170,2024-02-19,2024-03-08,13530036,1,MANEJO BASICO DE HERRAMIENTAS OFIMATICAS I,CURSO ESPECIAL,PRESENCIAL,28,0,202402,0,18,0.6,2,2024,FALSE
13,REGIONAL BOLIVAR,9104,CENTRO AGROEMPRESARIAL Y MINERO,12731648,2023-03-22,2024-11-29,733410,101,PRODUCCION AGROPECUARIA,TECNICO,PRESENCIAL,23,0,202402,0,618,20.3,3,2023,FALSE
52,REGIONAL NARIÑO,9534,CENTRO SUR COLOMBIANO DE LOGISTICA INTERNACIONAL,12919320,2024-02-20,2024-03-04,04230003,1,ECONOMIA SOLIDARIA UN EJE ESTRATEGICO DE SUPERVIVENCIA SOCIAL.,CURSO ESPECIAL,PRESENCIAL,29,0,202402,0,13,0.4,2,2024,FALSE
54,REGIONAL NORTE DE SANTANDER,9119,CENTRO DE FORMACION PARA EL DESARROLLO RURAL Y MINERO,12704710,2023-03-21,2024-12-16,723111,100,CULTIVO Y COSECHA DE LA PALMA DE ACEITE,TECNICO,PRESENCIAL,26,0,202402,0,636,20.9,3,2023,FALSE
17,REGIONAL CALDAS,9306,CENTRO DE COMERCIO Y SERVICIOS,12737445,2023-03-24,2024-03-23,122115,100,GESTION ADMINISTRATIVA,TECNOLOGO,PRESENCIAL,33,0,202402,0,365,12,3,2023,FALSE
50,REGIONAL META,9117,CENTRO AGROINDUSTRIAL DEL META,12709234,2023-02-25,2024-11-30,222239,1,CONSERVACION DE RECURSOS NATURALES,TECNICO,PRESENCIAL,25,1,202402,0.04,644,21.2,2,2023,TRUE
20,REGIONAL CESAR,9521,CENTRO DE OPERACION Y MANTENIMIENTO MINERO,12730798,2023-03-17,2024-12-13,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,39,0,202402,0,637,21,3,2023,FALSE
5,REGIONAL ANTIOQUIA,9301,CENTRO DE COMERCIO,12842508,2023-10-02,2025-10-01,122115,100,GESTION ADMINISTRATIVA,TECNOLOGO,PRESENCIAL,31,3,202402,0.0967741935483871,730,24,10,2023,TRUE
11,REGIONAL DISTRITO CAPITAL,9405,CENTRO DE SERVICIOS FINANCIEROS,12710286,2023-03-01,2024-05-31,133303,1,SERVICIOS COMERCIALES Y FINANCIEROS,TECNICO,PRESENCIAL,33,0,202402,0,457,15,3,2023,FALSE
5,REGIONAL ANTIOQUIA,9206,CENTRO TEXTIL Y DE GESTION INDUSTRIAL,12849048,2023-11-07,2026-02-06,221111,4,QUIMICA APLICADA A LA INDUSTRIA,TECNOLOGO,PRESENCIAL,21,0,202402,0,822,27,11,2023,FALSE
